,,,,f1,f1,auc_roc,auc_roc,disparate_impact,disparate_impact,statistical_parity_difference,statistical_parity_difference
,,,,mean,std,mean,std,mean,std,mean,std
scenario,mitigator,generator,model,,,,,,,,
S4,None,GaussianCopula,CatBoost,0.5548,0.0139,0.6773,0.0107,0.7868,0.0705,-0.0815,0.0284
S4,None,GaussianCopula,LogisticRegression,0.5198,0.0202,0.6381,0.0176,0.5165,0.1678,-0.1875,0.0692
S4,None,GaussianCopula,SVM,0.5215,0.0201,0.6493,0.0099,0.7717,0.1013,-0.0822,0.0379
S4,None,TVAE,CatBoost,0.5959,0.0094,0.6714,0.0098,0.7558,0.0883,-0.1193,0.0447
S4,None,TVAE,LogisticRegression,0.5405,0.0122,0.6191,0.0173,0.6097,0.2949,-0.1793,0.1338
S4,None,TVAE,SVM,0.5453,0.0097,0.6417,0.0084,0.7974,0.0936,-0.084,0.0393
S4,None,TabDDPM,CatBoost,0.578,0.0131,0.676,0.0076,1.0284,0.2265,0.0116,0.0934
S4,None,TabDDPM,LogisticRegression,0.4898,0.0413,0.5374,0.0391,1.0165,0.2033,0.0061,0.0936
S4,None,TabDDPM,SVM,0.5158,0.0291,0.6269,0.0098,1.1012,0.439,0.038,0.1537
S5,None,CTGAN,CatBoost,0.567,0.0107,0.6818,0.0073,1.056,0.07,0.0212,0.0264
S5,None,CTGAN,LogisticRegression,0.4959,0.0159,0.6407,0.0109,1.1788,0.1443,0.0544,0.0434
S5,None,CTGAN,SVM,0.5202,0.0148,0.6493,0.0081,1.0258,0.1379,0.0084,0.0482
S5,None,GaussianCopula,CatBoost,0.5529,0.0171,0.6806,0.0088,0.9017,0.063,-0.0357,0.0228
S5,None,GaussianCopula,LogisticRegression,0.4913,0.0199,0.6418,0.013,0.932,0.1773,-0.0206,0.0551
S5,None,GaussianCopula,SVM,0.5134,0.0184,0.6503,0.0105,0.8956,0.0972,-0.0341,0.0317
S5,None,TVAE,CatBoost,0.572,0.0096,0.6799,0.0092,0.9239,0.1823,-0.0308,0.0723
S5,None,TVAE,LogisticRegression,0.5025,0.0204,0.6331,0.0149,0.7681,0.4032,-0.0774,0.138
S5,None,TVAE,SVM,0.5181,0.0151,0.6512,0.0084,0.9721,0.1529,-0.0092,0.0511
S5,None,TabDDPM,CatBoost,0.5707,0.0148,0.6796,0.0071,1.0231,0.2084,0.0094,0.079
S5,None,TabDDPM,LogisticRegression,0.4794,0.0331,0.5727,0.0154,1.1124,0.3754,0.0427,0.1426
S5,None,TabDDPM,SVM,0.4957,0.0162,0.6391,0.0105,1.0943,0.3452,0.0303,0.1045
S6,Reweighing,CTGAN,CatBoost,0.5726,0.0073,0.6825,0.0072,0.8764,0.0825,-0.0498,0.0331
S6,Reweighing,CTGAN,LogisticRegression,0.5071,0.0164,0.6393,0.0112,0.8669,0.1179,-0.0461,0.0396
S6,Reweighing,CTGAN,SVM,0.5241,0.0157,0.6517,0.0087,0.8059,0.0891,-0.0688,0.0313
S6,Reweighing,GaussianCopula,CatBoost,0.5632,0.0154,0.6818,0.0078,0.8099,0.0818,-0.0743,0.0335
S6,Reweighing,GaussianCopula,LogisticRegression,0.4988,0.0196,0.6385,0.0151,0.6995,0.1919,-0.101,0.0652
S6,Reweighing,GaussianCopula,SVM,0.5186,0.0127,0.6498,0.0101,0.7766,0.103,-0.0791,0.0385
S6,Reweighing,TVAE,CatBoost,0.5792,0.0067,0.6773,0.0082,0.9572,0.087,-0.0185,0.0362
S6,Reweighing,TVAE,LogisticRegression,0.5334,0.0188,0.63,0.0137,0.9659,0.0754,-0.014,0.0296
S6,Reweighing,TVAE,SVM,0.5348,0.0134,0.6481,0.0096,0.9628,0.077,-0.0144,0.0284
S6,Reweighing,TabDDPM,CatBoost,0.5783,0.0121,0.681,0.0068,0.8895,0.1403,-0.0459,0.0578
S6,Reweighing,TabDDPM,LogisticRegression,0.4854,0.0393,0.5772,0.0227,0.7147,0.3077,-0.1128,0.1243
S6,Reweighing,TabDDPM,SVM,0.5119,0.0192,0.6413,0.0104,0.8663,0.2381,-0.0456,0.0837
