f1,auc_roc,auc_pr,recall,precision,accuracy,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_absolute_odds_difference,dataset,scenario,mitigator,generator,model,seed
0.7878787878787878,0.7142857142857143,0.807053591749738,0.9285714285714286,0.6842105263157895,0.7021276595744681,-0.2247474747474748,0.7390029325513195,-0.15652173913043477,0.1923076923076923,diabetes,S1,None,Baseline,LogisticRegression,42
0.7058823529411765,0.5150375939849624,0.63405549042076,0.8571428571428571,0.6,0.574468085106383,0.07575757575757569,1.0909090909090908,0.17391304347826086,0.17391304347826086,diabetes,S1,None,Baseline,SVM,42
0.6885245901639344,0.6071428571428572,0.7511724327275358,0.75,0.6363636363636364,0.5957446808510638,0.1515151515151516,1.2272727272727275,0.30434782608695654,0.30434782608695654,diabetes,S1,None,Baseline,CatBoost,42
0.6666666666666666,0.5958646616541353,0.6700538111757514,0.7142857142857143,0.625,0.574468085106383,-0.5328282828282829,0.3385579937304075,-0.3826086956521739,0.6794871794871795,diabetes,S1,None,Baseline,LogisticRegression,123
0.6875,0.5902255639097744,0.722313721641006,0.7857142857142857,0.6111111111111112,0.574468085106383,-0.40656565656565663,0.5278592375366569,-0.22608695652173916,0.5897435897435899,diabetes,S1,None,Baseline,SVM,123
0.7301587301587301,0.5958646616541354,0.6934503076567552,0.8214285714285714,0.6571428571428571,0.6382978723404256,-0.26010101010101017,0.677115987460815,-0.02608695652173909,0.43589743589743596,diabetes,S1,None,Baseline,CatBoost,123
0.6896551724137931,0.5939849624060151,0.6544516548269441,0.7142857142857143,0.6666666666666666,0.6170212765957447,-0.595959595959596,0.23376623376623376,-0.3826086956521739,0.7692307692307693,diabetes,S1,None,Baseline,LogisticRegression,999
0.6440677966101694,0.5977443609022557,0.6979415477194532,0.6785714285714286,0.6129032258064516,0.5531914893617021,-0.5050505050505051,0.3506493506493506,-0.3391304347826086,0.6794871794871795,diabetes,S1,None,Baseline,SVM,999
0.6779661016949152,0.5639097744360902,0.6368005113602011,0.7142857142857143,0.6451612903225806,0.5957446808510638,-0.38636363636363635,0.48484848484848486,-0.13913043478260867,0.6025641025641026,diabetes,S1,None,Baseline,CatBoost,999
0.7333333333333333,0.7067669172932332,0.7419251718432758,0.7857142857142857,0.6875,0.6595744680851063,-0.5328282828282829,0.3385579937304075,-0.4695652173913043,0.5256410256410257,diabetes,S1,None,Baseline,LogisticRegression,2024
0.75,0.6654135338345865,0.7408849829729705,0.8571428571428571,0.6666666666666666,0.6595744680851063,-0.40656565656565663,0.5278592375366569,-0.06956521739130428,0.6794871794871795,diabetes,S1,None,Baseline,SVM,2024
0.7619047619047619,0.7537593984962406,0.7998751998026985,0.8571428571428571,0.6857142857142857,0.6808510638297872,-0.26010101010101017,0.677115987460815,-0.06956521739130428,0.358974358974359,diabetes,S1,None,Baseline,CatBoost,2024
0.6909090909090909,0.6616541353383459,0.7712649703499141,0.6785714285714286,0.7037037037037037,0.6382978723404256,-0.037878787878787956,0.9350649350649349,0.3913043478260869,0.3913043478260869,diabetes,S1,None,Baseline,LogisticRegression,7
0.7384615384615385,0.5864661654135339,0.6526083239582912,0.8571428571428571,0.6486486486486487,0.6382978723404256,-0.19696969696969702,0.7636363636363636,0.17391304347826086,0.5128205128205128,diabetes,S1,None,Baseline,SVM,7
0.7540983606557377,0.7199248120300752,0.8131593509429393,0.8214285714285714,0.696969696969697,0.6808510638297872,-0.08585858585858586,0.8811188811188811,0.21739130434782605,0.2820512820512821,diabetes,S1,None,Baseline,CatBoost,7
0.7419354838709677,0.6409774436090225,0.7795634000154983,0.8214285714285714,0.6764705882352942,0.6595744680851063,-0.35101010101010105,0.5642633228840125,-0.02608695652173909,0.6025641025641026,diabetes,S1,None,Baseline,LogisticRegression,88
0.71875,0.5112781954887218,0.6609886386180905,0.8214285714285714,0.6388888888888888,0.6170212765957447,-0.16919191919191923,0.7899686520376176,0.21739130434782605,0.5128205128205128,diabetes,S1,None,Baseline,SVM,88
0.6984126984126984,0.5206766917293233,0.5987321710325351,0.7857142857142857,0.6285714285714286,0.5957446808510638,-0.26010101010101017,0.677115987460815,0.26086956521739135,0.7564102564102565,diabetes,S1,None,Baseline,CatBoost,88
0.6666666666666666,0.6578947368421053,0.7694200071978425,0.6785714285714286,0.6551724137931034,0.5957446808510638,-0.2121212121212121,0.6818181818181819,-0.09565217391304348,0.2820512820512821,diabetes,S1,None,Baseline,LogisticRegression,101
0.6875,0.5789473684210527,0.6778747138008503,0.7857142857142857,0.6111111111111112,0.574468085106383,-0.0505050505050505,0.935064935064935,0.017391304347826098,0.10256410256410264,diabetes,S1,None,Baseline,SVM,101
0.7586206896551724,0.7218045112781956,0.7928103626201689,0.7857142857142857,0.7333333333333333,0.7021276595744681,-0.002525252525252486,0.9960474308300395,0.017391304347826098,0.11538461538461536,diabetes,S1,None,Baseline,CatBoost,101
0.6666666666666666,0.5733082706766917,0.6937331472026478,0.6785714285714286,0.6551724137931034,0.5957446808510638,-0.09343434343434343,0.8537549407114624,0.3913043478260869,0.5256410256410257,diabetes,S1,None,Baseline,LogisticRegression,13
0.6875,0.575187969924812,0.6952615831962604,0.7857142857142857,0.6111111111111112,0.574468085106383,-0.28787878787878796,0.6545454545454544,0.017391304347826098,0.5897435897435899,diabetes,S1,None,Baseline,SVM,13
0.6551724137931034,0.6033834586466166,0.6969116519435252,0.6785714285714286,0.6333333333333333,0.574468085106383,-0.12121212121212122,0.8181818181818181,0.14782608695652177,0.358974358974359,diabetes,S1,None,Baseline,CatBoost,13
0.7241379310344828,0.6898496240601505,0.7899027350764184,0.75,0.7,0.6595744680851063,-0.12121212121212122,0.8181818181818181,-0.18260869565217397,0.18260869565217397,diabetes,S1,None,Baseline,LogisticRegression,555
0.6984126984126984,0.6109022556390978,0.7053562731060242,0.7857142857142857,0.6285714285714286,0.5957446808510638,-0.14141414141414144,0.8181818181818181,-0.22608695652173916,0.22608695652173916,diabetes,S1,None,Baseline,SVM,555
0.6181818181818182,0.6071428571428572,0.7569623573630746,0.6071428571428571,0.6296296296296297,0.5531914893617021,-0.15656565656565663,0.743801652892562,-0.008695652173913104,0.2820512820512821,diabetes,S1,None,Baseline,CatBoost,555
0.6785714285714286,0.6033834586466166,0.6686757520318127,0.6785714285714286,0.6785714285714286,0.6170212765957447,-0.1843434343434343,0.7114624505928854,0.14782608695652177,0.4487179487179488,diabetes,S1,None,Baseline,LogisticRegression,777
0.7213114754098361,0.6052631578947368,0.645357856840444,0.7857142857142857,0.6666666666666666,0.6382978723404256,0.03282828282828287,1.0472727272727274,0.017391304347826098,0.1282051282051282,diabetes,S1,None,Baseline,SVM,777
0.711864406779661,0.6691729323308271,0.7681006795851653,0.75,0.6774193548387096,0.6382978723404256,0.08838383838383845,1.1383399209486167,0.30434782608695654,0.30434782608695654,diabetes,S1,None,Baseline,CatBoost,777
0.71875,0.6879699248120301,0.7944337086952658,0.8214285714285714,0.6388888888888888,0.6170212765957447,-0.0505050505050505,0.935064935064935,-0.02608695652173909,0.02608695652173909,diabetes,S2,Reweighing,Baseline,LogisticRegression,42
0.6764705882352942,0.4755639097744361,0.6274755786492202,0.8214285714285714,0.575,0.5319148936170213,0.19444444444444442,1.2413793103448276,0.21739130434782605,0.21739130434782605,diabetes,S2,Reweighing,Baseline,SVM,42
0.6557377049180327,0.5601503759398496,0.7384684099605168,0.7142857142857143,0.6060606060606061,0.5531914893617021,0.03282828282828287,1.0472727272727274,0.10434782608695659,0.10434782608695659,diabetes,S2,Reweighing,Baseline,CatBoost,42
0.6206896551724138,0.5883458646616542,0.6778432833686328,0.6428571428571429,0.6,0.5319148936170213,-0.4772727272727273,0.3636363636363636,-0.29565217391304344,0.6794871794871795,diabetes,S2,Reweighing,Baseline,LogisticRegression,123
0.676923076923077,0.5375939849624061,0.6560695412112197,0.7857142857142857,0.5945945945945946,0.5531914893617021,-0.19696969696969702,0.7636363636363636,0.017391304347826098,0.42307692307692313,diabetes,S2,Reweighing,Baseline,SVM,123
0.7,0.5695488721804511,0.6635831371827051,0.75,0.65625,0.6170212765957447,-0.058080808080808066,0.9163636363636364,0.0608695652173914,0.11538461538461542,diabetes,S2,Reweighing,Baseline,CatBoost,123
0.6666666666666666,0.6033834586466166,0.6700305037690831,0.6785714285714286,0.6551724137931034,0.5957446808510638,-0.4494949494949495,0.3776223776223776,-0.3391304347826086,0.5256410256410257,diabetes,S2,Reweighing,Baseline,LogisticRegression,999
0.6451612903225806,0.5902255639097744,0.7022807674298307,0.7142857142857143,0.5882352941176471,0.5319148936170213,-0.23232323232323238,0.7012987012987012,-0.13913043478260867,0.34615384615384615,diabetes,S2,Reweighing,Baseline,SVM,999
0.6666666666666666,0.5864661654135338,0.6610160887395312,0.6785714285714286,0.6551724137931034,0.5957446808510638,-0.3308080808080808,0.5236363636363637,-0.09565217391304348,0.5256410256410257,diabetes,S2,Reweighing,Baseline,CatBoost,999
0.7419354838709677,0.6917293233082707,0.7324001715835216,0.8214285714285714,0.6764705882352942,0.6595744680851063,-0.23232323232323238,0.7012987012987012,-0.02608695652173909,0.358974358974359,diabetes,S2,Reweighing,Baseline,LogisticRegression,2024
0.78125,0.3176691729323308,0.4930006410269673,0.8928571428571429,0.6944444444444444,0.7021276595744681,-0.28787878787878796,0.6545454545454544,-0.11304347826086947,0.358974358974359,diabetes,S2,Reweighing,Baseline,SVM,2024
0.7619047619047619,0.68796992481203,0.7456009075244185,0.8571428571428571,0.6857142857142857,0.6808510638297872,-0.14141414141414144,0.8181818181818181,0.17391304347826086,0.358974358974359,diabetes,S2,Reweighing,Baseline,CatBoost,2024
0.5769230769230769,0.6071428571428571,0.7540173424835773,0.5357142857142857,0.625,0.5319148936170213,0.2828282828282829,1.6363636363636365,0.5652173913043479,0.5652173913043479,diabetes,S2,Reweighing,Baseline,LogisticRegression,7
0.6557377049180327,0.5770676691729324,0.665700851375947,0.7142857142857143,0.6060606060606061,0.5531914893617021,0.1515151515151516,1.2272727272727275,0.34782608695652173,0.34782608695652173,diabetes,S2,Reweighing,Baseline,SVM,7
0.7857142857142857,0.7236842105263157,0.7718043275418227,0.7857142857142857,0.7857142857142857,0.7446808510638298,-0.06565656565656575,0.8925619834710743,0.26086956521739135,0.26086956521739135,diabetes,S2,Reweighing,Baseline,CatBoost,7
0.75,0.6334586466165414,0.7812215678446548,0.8571428571428571,0.6666666666666666,0.6595744680851063,-0.16919191919191923,0.7899686520376176,0.17391304347826086,0.43589743589743596,diabetes,S2,Reweighing,Baseline,LogisticRegression,88
0.676923076923077,0.5112781954887219,0.6631747494276742,0.7857142857142857,0.5945945945945946,0.5531914893617021,0.15909090909090906,1.2121212121212122,0.26086956521739135,0.26086956521739135,diabetes,S2,Reweighing,Baseline,SVM,88
0.6885245901639344,0.5244360902255639,0.6155497085054138,0.75,0.6363636363636364,0.5957446808510638,-0.20454545454545459,0.7272727272727272,0.30434782608695654,0.6794871794871795,diabetes,S2,Reweighing,Baseline,CatBoost,88
0.6785714285714286,0.6296992481203008,0.7533826545884371,0.6785714285714286,0.6785714285714286,0.6170212765957447,-0.06565656565656575,0.8925619834710743,0.14782608695652177,0.20512820512820512,diabetes,S2,Reweighing,Baseline,LogisticRegression,101
0.6774193548387096,0.5657894736842105,0.6923360784819451,0.75,0.6176470588235294,0.574468085106383,0.005050505050505083,1.006993006993007,0.0608695652173914,0.0608695652173914,diabetes,S2,Reweighing,Baseline,SVM,101
0.75,0.7086466165413534,0.8133249822226496,0.75,0.75,0.7021276595744681,-0.06565656565656575,0.8925619834710743,0.0608695652173914,0.0608695652173914,diabetes,S2,Reweighing,Baseline,CatBoost,101
0.6071428571428571,0.5582706766917294,0.6961683110674646,0.6071428571428571,0.6071428571428571,0.5319148936170213,0.05303030303030298,1.0909090909090908,0.4782608695652174,0.4782608695652174,diabetes,S2,Reweighing,Baseline,LogisticRegression,13
0.6984126984126984,0.599624060150376,0.6937795823291697,0.7857142857142857,0.6285714285714286,0.5957446808510638,-0.14141414141414144,0.8181818181818181,0.26086956521739135,0.5128205128205128,diabetes,S2,Reweighing,Baseline,SVM,13
0.6666666666666666,0.5733082706766918,0.7084868794353578,0.7142857142857143,0.625,0.574468085106383,-0.058080808080808066,0.9163636363636364,0.10434782608695659,0.1923076923076923,diabetes,S2,Reweighing,Baseline,CatBoost,13
0.6428571428571429,0.6635338345864662,0.7694049662050719,0.6428571428571429,0.6428571428571429,0.574468085106383,0.1717171717171717,1.309090909090909,0.19130434782608696,0.20512820512820507,diabetes,S2,Reweighing,Baseline,LogisticRegression,555
0.7,0.5902255639097744,0.6899721613285617,0.75,0.65625,0.6170212765957447,-0.058080808080808066,0.9163636363636364,-0.18260869565217397,0.18260869565217397,diabetes,S2,Reweighing,Baseline,SVM,555
0.5714285714285714,0.5601503759398496,0.7238109046290754,0.5714285714285714,0.5714285714285714,0.48936170212765956,-0.1843434343434343,0.7114624505928854,0.034782608695652195,0.43589743589743596,diabetes,S2,Reweighing,Baseline,CatBoost,555
0.6551724137931034,0.5620300751879699,0.654045183762278,0.6785714285714286,0.6333333333333333,0.574468085106383,0.11616161616161613,1.1900826446280992,0.3913043478260869,0.3913043478260869,diabetes,S2,Reweighing,Baseline,LogisticRegression,777
0.6557377049180327,0.5676691729323309,0.6352516259013694,0.7142857142857143,0.6060606060606061,0.5531914893617021,0.1515151515151516,1.2272727272727275,0.10434782608695659,0.21794871794871795,diabetes,S2,Reweighing,Baseline,SVM,777
0.6545454545454545,0.6597744360902256,0.7571385344432149,0.6428571428571429,0.6666666666666666,0.5957446808510638,-0.037878787878787956,0.9350649350649349,0.19130434782608696,0.20512820512820512,diabetes,S2,Reweighing,Baseline,CatBoost,777
0.7352941176470589,0.712406015037594,0.8148341330304377,0.8928571428571429,0.625,0.6170212765957447,-0.2803030303030303,0.6942148760330579,-0.11304347826086947,0.42307692307692313,diabetes,S2,DIRemover,Baseline,LogisticRegression,42
0.7567567567567568,0.6898496240601504,0.748735727712399,1.0,0.6086956521739131,0.6170212765957447,-0.09090909090909094,0.9090909090909091,0.0,0.16666666666666663,diabetes,S2,DIRemover,Baseline,SVM,42
