f1,auc_roc,auc_pr,recall,precision,accuracy,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_absolute_odds_difference,dataset,scenario,mitigator,generator,model,seed
0.6748603351955307,0.913139832384826,0.7737915599029251,0.6265560165975104,0.7312348668280871,0.8545,-0.2067532954685401,0.2477101558902848,-0.1814387917329094,0.1814387917329094,adult,S1,None,Baseline,LogisticRegression,42
0.6519208381839348,0.8983176979974744,0.7480107508345142,0.5809128630705395,0.7427055702917772,0.8505,-0.1956853569003445,0.2270717023906747,-0.2073396926338103,0.2073396926338103,adult,S1,None,Baseline,SVM,42
0.7015945330296127,0.9246319409137378,0.8147146675013166,0.6390041493775933,0.7777777777777778,0.869,-0.20309599482080132,0.23395623361956916,-0.2440381558028617,0.2440381558028617,adult,S1,None,Baseline,CatBoost,42
0.6342592592592593,0.9069731684516096,0.755133701543917,0.5684647302904564,0.7172774869109948,0.842,-0.17004357803088763,0.31211978554876574,-0.06491785903550618,0.0798943086604318,adult,S1,None,Baseline,LogisticRegression,123
0.6301369863013698,0.8863301515971551,0.7221305829140673,0.5726141078838174,0.700507614213198,0.838,-0.19256360166719583,0.2611958090762888,-0.19753577106518277,0.19753577106518277,adult,S1,None,Baseline,SVM,123
0.6955530216647663,0.9236007467786287,0.8104067385079016,0.6327800829875518,0.7721518987341772,0.8665,-0.17297326001407784,0.32078828399164155,-0.06107578166401706,0.06611564198888557,adult,S1,None,Baseline,CatBoost,123
0.6311010215664018,0.8968696526878018,0.7422454223041925,0.5767634854771784,0.6967418546365914,0.8375,-0.19855741690854717,0.251074982421001,-0.12261526232114467,0.12261526232114467,adult,S1,None,Baseline,LogisticRegression,999
0.6360505166475315,0.8814379588779733,0.7308779558402603,0.5746887966804979,0.712082262210797,0.8415,-0.20238758348124855,0.22572293062459478,-0.1840222575516693,0.1840222575516693,adult,S1,None,Baseline,SVM,999
0.6674364896073903,0.9187440889136722,0.8027552018479082,0.5995850622406639,0.7526041666666666,0.856,-0.1873550270653806,0.2621518198807511,-0.13361155272919978,0.13361155272919978,adult,S1,None,Baseline,CatBoost,999
0.6798245614035088,0.9100038814994615,0.7819943678469562,0.6431535269709544,0.7209302325581395,0.854,-0.19685248435450398,0.2971053958648512,-0.12122416534181235,0.12122416534181235,adult,S1,None,Baseline,LogisticRegression,2024
0.6558139534883721,0.8968819532142643,0.7589786941270593,0.5850622406639004,0.746031746031746,0.852,-0.16253690348545158,0.3303479576399395,-0.052596714361420216,0.06700494238760688,adult,S1,None,Baseline,SVM,2024
0.7264673311184939,0.9330065493469788,0.84277868183434,0.6804979253112033,0.7790973871733967,0.8765,-0.18335199456771653,0.3236685379444285,-0.11744833068362481,0.11744833068362481,adult,S1,None,Baseline,CatBoost,2024
0.6530147895335608,0.8920820144435514,0.7386128534746488,0.5954356846473029,0.7229219143576826,0.8475,-0.19254439434219994,0.2654787919538298,-0.14467408585055647,0.14467408585055647,adult,S1,None,Baseline,LogisticRegression,7
0.629500580720093,0.871884549992073,0.7130468109162245,0.5622406639004149,0.7150395778364116,0.8405,-0.16554341476862516,0.3221326227058437,-0.12142289348171703,0.12142289348171703,adult,S1,None,Baseline,SVM,7
0.6811428571428572,0.9099826972594427,0.7979457327596636,0.6182572614107884,0.7582697201017812,0.8605,-0.171479608034989,0.3226808402393798,-0.10777689454160044,0.10777689454160044,adult,S1,None,Baseline,CatBoost,7
0.6504065040650406,0.9031750392250122,0.7684115983410237,0.5809128630705395,0.7387862796833773,0.8495,-0.19265963829217506,0.23902284462176285,-0.19137519872813996,0.19137519872813996,adult,S1,None,Baseline,LogisticRegression,88
0.6208530805687204,0.885974803054904,0.7341296422595998,0.5435684647302904,0.7237569060773481,0.84,-0.17318454058903218,0.27305924812315335,-0.11532856385797563,0.11532856385797563,adult,S1,None,Baseline,SVM,88
0.6874279123414071,0.9222791235464878,0.8147337424203479,0.6182572614107884,0.7740259740259741,0.8645,-0.1903615383485542,0.2546956144774442,-0.13970588235294112,0.13970588235294112,adult,S1,None,Baseline,CatBoost,88
0.6912751677852349,0.9196372438073682,0.7966415585402501,0.6410788381742739,0.75,0.862,-0.1924483577172207,0.2861818532316938,-0.03895071542130368,0.09396757896200712,adult,S1,None,Baseline,LogisticRegression,101
0.6689734717416378,0.9014543322454202,0.7606159296360104,0.6016597510373444,0.7532467532467533,0.8565,-0.1745437412931501,0.302346060920812,-0.04027556968733437,0.07981928537576602,adult,S1,None,Baseline,SVM,101
0.734375,0.938228806192905,0.8531637611259552,0.6825726141078838,0.7946859903381642,0.881,-0.184903268521793,0.3103468619758195,-0.024112347641759402,0.07463352955276974,adult,S1,None,Baseline,CatBoost,101
0.6583990980834273,0.9027404206233361,0.7531545649489477,0.6058091286307054,0.7209876543209877,0.8485,-0.18948026108403881,0.28531248002386483,-0.125,0.125,adult,S1,None,Baseline,LogisticRegression,13
0.64472190692395,0.88400193528283,0.7270184703678167,0.5892116182572614,0.7117794486215538,0.8435,-0.17822024926588476,0.3102979370895385,-0.1213566507684154,0.1213566507684154,adult,S1,None,Baseline,SVM,13
0.6810933940774487,0.9202563703059824,0.8066661391958371,0.6203319502074689,0.7550505050505051,0.86,-0.18049914188450975,0.2994540551206999,-0.0782988871224165,0.0782988871224165,adult,S1,None,Baseline,CatBoost,13
0.6612903225806451,0.9039896074218643,0.7669982742359152,0.5954356846473029,0.7435233160621761,0.853,-0.17980993786995286,0.28767601536134063,-0.048887122416534146,0.08689343216888656,adult,S1,None,Baseline,LogisticRegression,555
0.6365740740740741,0.8929683357114351,0.7415516575999606,0.5705394190871369,0.7198952879581152,0.843,-0.18360168979266256,0.27049655005229917,-0.11526232114467411,0.11526232114467411,adult,S1,None,Baseline,SVM,555
0.7033218785796106,0.9232570154002591,0.8220569065449106,0.6369294605809128,0.7851662404092071,0.8705,-0.16998595605590008,0.324595860062759,0.013844727080021269,0.07355941569670099,adult,S1,None,Baseline,CatBoost,555
0.6354044548651817,0.893372202996955,0.7397130488737859,0.5622406639004149,0.7304582210242587,0.8445,-0.19798345684396537,0.21101235501765,-0.15335188129305777,0.15335188129305777,adult,S1,None,Baseline,LogisticRegression,777
