comparison,generator,model,p_f1,p_di
S2Rew→S4,TabDDPM,CatBoost,0.232421875,0.001953125
S2Rew→S5,GaussianCopula,LogisticRegression,0.005859375,0.001953125
S2Rew→S5,CTGAN,LogisticRegression,0.01953125,0.556640625
S2Rew→S5,TVAE,LogisticRegression,0.001953125,0.76953125
S2Rew→S5,TabDDPM,LogisticRegression,0.001953125,0.048828125
S2Rew→S5,GaussianCopula,SVM,0.322265625,0.001953125
S2Rew→S5,CTGAN,SVM,0.001953125,0.001953125
S2Rew→S5,TVAE,SVM,0.001953125,0.001953125
S2Rew→S5,TabDDPM,SVM,0.001953125,0.001953125
S2Rew→S5,GaussianCopula,CatBoost,0.00390625,0.001953125
S2Rew→S5,CTGAN,CatBoost,0.001953125,0.001953125
S2Rew→S5,TVAE,CatBoost,0.001953125,0.001953125
S2Rew→S5,TabDDPM,CatBoost,0.009765625,0.001953125
S2Rew→S6,GaussianCopula,LogisticRegression,0.013671875,0.001953125
S2Rew→S6,CTGAN,LogisticRegression,0.322265625,0.00390625
S2Rew→S6,TVAE,LogisticRegression,0.001953125,0.001953125
S2Rew→S6,TabDDPM,LogisticRegression,0.001953125,0.001953125
S2Rew→S6,GaussianCopula,SVM,0.083984375,0.001953125
S2Rew→S6,CTGAN,SVM,0.001953125,0.001953125
S2Rew→S6,TVAE,SVM,0.001953125,0.001953125
S2Rew→S6,TabDDPM,SVM,0.001953125,0.001953125
S2Rew→S6,GaussianCopula,CatBoost,0.00390625,0.001953125
S2Rew→S6,CTGAN,CatBoost,0.00390625,0.001953125
S2Rew→S6,TVAE,CatBoost,0.001953125,0.001953125
S2Rew→S6,TabDDPM,CatBoost,0.037109375,0.001953125
